fid,username,displayName,pfp,followerCount,followingCount,location
1689,stephancill,Stephan,https://i.imgur.com/njEtQOM.jpg,165754,1023,"Cape Town, South Africa"
1580,mxmnr,Max Miner,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/2c82d10c-baa6-4899-43d5-4d53fb84c800/original,1519,273,"Austin, TX, USA"
11188,polynya,polynya,https://i.imgur.com/7vUGwdo.png,325709,126,
4407,keccers.eth,keccers,https://i.imgur.com/kynnpYw.jpg,172898,1202,
451,pfista,Michael Pfister,https://i.seadn.io/gcs/files/d172183e374ee8690e9b447dadb49b87.gif?w=500&auto=format,238900,657,"San Diego, CA, USA"
1626,mcbain,McBain ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/6b5f14ba-508a-4090-abca-dae88b6e6d00/original,130124,1169,"Sacramento, CA, USA"
12,linda,Linda Xie,https://i.seadn.io/gae/r6CW_kgQygQhI7-4JdWt_Nbf_bjFNnEM7dSns1nZGrijJvUMaLnpAFuBLwjsHXTkyX8zfgpRJCYibtm7ojeA2_ASQwSJgh7yKEFVMOI?w=500&auto=format,379794,656,"New York, NY, USA"
1287,july,July,https://i.seadn.io/gcs/files/ed56e6b9a1b22720ce7490524db333e0.jpg?w=500&auto=format,193894,1652,
403619,maretus.eth,Maretus,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/451b0fb0-768d-47e9-c9a9-227a28336e00/rectcrop3,24589,3174,"Ocala, FL, USA"
16148,eulerlagrange.eth,EulerLagrange.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/d20697e6-f714-4c5a-aad3-5ba1da907100/rectcrop3,233882,587,"Brooklyn, NY, USA"
395346,lambchop,Lambchop 🐺★ ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/bc864b1e-a93e-49ce-e381-deb939451600/rectcrop3,8356,795,"Philadelphia, PA, USA"
68,erik,Erik Torenberg,https://i.imgur.com/adpD7Cv.jpg,2544,75,
239,ted,ted (not lasso),https://openseauserdata.com/files/fd28c65d9b5192168fb259009a3afd36.png,363175,966,"Los Angeles, CA, USA"
1668,tomu.eth,tomu,https://i.imgur.com/roj0Zcu.gif,8117,875,"Lisbon, Portugal"
2433,seneca,seneca,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/0e928611-bfd8-4439-81e3-cbea2cd32000/original,317990,342,
2745,sdv.eth,Steve,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/9b537d97-8cc3-4223-0400-7bb20cc70b00/original,65090,1560,"Salt Lake City, UT, USA"
395346,lambchop,Lambchop 🐺★ ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/bc864b1e-a93e-49ce-e381-deb939451600/rectcrop3,8356,795,"Philadelphia, PA, USA"
16148,eulerlagrange.eth,EulerLagrange.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/d20697e6-f714-4c5a-aad3-5ba1da907100/rectcrop3,233882,587,"Brooklyn, NY, USA"
239,ted,ted (not lasso),https://openseauserdata.com/files/fd28c65d9b5192168fb259009a3afd36.png,363175,966,"Los Angeles, CA, USA"
2134,kazi,Kazi ,https://i.imgur.com/5EGzNvq.jpg,48374,1596,"San Francisco, CA, USA"
2689,binji.eth,binji 🔴,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/307fbc8b-d18d-463a-097e-222c54cb8f00/rectcrop3,238765,1053,"New York, NY, USA"
194,rish,rish,https://i.imgur.com/naZWL9n.gif,245919,751,
5818,adrienne,adrienne,https://i.seadn.io/gae/fHFhEyRAWUv3GGEhSdD9fMQ8D9mdNcSPh2CrhTIqqQuXM62gAGclA5co44eUB-p-WP7zOC9opPTCtZYPvr4C9joBLVxMhhLFdjUH?w=500&auto=format,114765,1651,"New York, NY, USA"
3621,horsefacts.eth,horsefacts,https://i.imgur.com/rt8TGdY.jpg,298178,3450,"New York, NY, USA"
2745,sdv.eth,Steve,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/9b537d97-8cc3-4223-0400-7bb20cc70b00/original,65090,1560,"Salt Lake City, UT, USA"
243719,downshift.eth,downshift,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/c4e0eeec-71bc-4b01-1e0d-91c1669ea000/original,11709,1010,"Austin, TX, USA"
12,linda,Linda Xie,https://i.seadn.io/gae/r6CW_kgQygQhI7-4JdWt_Nbf_bjFNnEM7dSns1nZGrijJvUMaLnpAFuBLwjsHXTkyX8zfgpRJCYibtm7ojeA2_ASQwSJgh7yKEFVMOI?w=500&auto=format,379794,656,"New York, NY, USA"
395346,lambchop,Lambchop 🐺★ ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/bc864b1e-a93e-49ce-e381-deb939451600/rectcrop3,8356,795,"Philadelphia, PA, USA"
4282,matthewfox,Matthew Fox,"https://res.cloudinary.com/merkle-manufactory/image/fetch/c_fill,f_gif,w_112,h_112/https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/5be0ee5e-9000-455f-b20a-4b651f553400/original",9134,1004,"Dublin, Ireland"
1325,cassie,Cassie Heart,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/45bf39bb-9508-40de-a224-68811d248900/rectcrop3,369289,1615,"Wichita, KS, USA"
1689,stephancill,Stephan,https://i.imgur.com/njEtQOM.jpg,165754,1023,"Cape Town, South Africa"
1580,mxmnr,Max Miner,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/2c82d10c-baa6-4899-43d5-4d53fb84c800/original,1519,273,"Austin, TX, USA"
11188,polynya,polynya,https://i.imgur.com/7vUGwdo.png,325709,126,
4407,keccers.eth,keccers,https://i.imgur.com/kynnpYw.jpg,172898,1202,
451,pfista,Michael Pfister,https://i.seadn.io/gcs/files/d172183e374ee8690e9b447dadb49b87.gif?w=500&auto=format,238900,657,"San Diego, CA, USA"
1626,mcbain,McBain ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/6b5f14ba-508a-4090-abca-dae88b6e6d00/original,130124,1169,"Sacramento, CA, USA"
12,linda,Linda Xie,https://i.seadn.io/gae/r6CW_kgQygQhI7-4JdWt_Nbf_bjFNnEM7dSns1nZGrijJvUMaLnpAFuBLwjsHXTkyX8zfgpRJCYibtm7ojeA2_ASQwSJgh7yKEFVMOI?w=500&auto=format,379794,656,"New York, NY, USA"
1287,july,July,https://i.seadn.io/gcs/files/ed56e6b9a1b22720ce7490524db333e0.jpg?w=500&auto=format,193894,1652,
403619,maretus.eth,Maretus,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/451b0fb0-768d-47e9-c9a9-227a28336e00/rectcrop3,24589,3174,"Ocala, FL, USA"
16148,eulerlagrange.eth,EulerLagrange.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/d20697e6-f714-4c5a-aad3-5ba1da907100/rectcrop3,233882,587,"Brooklyn, NY, USA"
395346,lambchop,Lambchop 🐺★ ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/bc864b1e-a93e-49ce-e381-deb939451600/rectcrop3,8356,795,"Philadelphia, PA, USA"
68,erik,Erik Torenberg,https://i.imgur.com/adpD7Cv.jpg,2544,75,
239,ted,ted (not lasso),https://openseauserdata.com/files/fd28c65d9b5192168fb259009a3afd36.png,363175,966,"Los Angeles, CA, USA"
1668,tomu.eth,tomu,https://i.imgur.com/roj0Zcu.gif,8117,875,"Lisbon, Portugal"
2433,seneca,seneca,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/0e928611-bfd8-4439-81e3-cbea2cd32000/original,317990,342,
834,gabrielayuso.eth,Gabriel Ayuso,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/0a4721e1-7694-44c0-f120-4eec4f747300/original,67052,637,"Los Angeles, CA, USA"
576,nonlinear.eth,Jonny Mack,https://i.seadn.io/gae/oeyOFjLzIVCMec49KdmBp24ZHL82XXqLLDlLRuvUR8InycSpmf9ZtSCfN69lgojeOoucD7fU9cjxAt4raFBTTgSo34gD5lSZ83Klb1k?w=500&auto=format,397769,3689,
12,linda,Linda Xie,https://i.seadn.io/gae/r6CW_kgQygQhI7-4JdWt_Nbf_bjFNnEM7dSns1nZGrijJvUMaLnpAFuBLwjsHXTkyX8zfgpRJCYibtm7ojeA2_ASQwSJgh7yKEFVMOI?w=500&auto=format,379794,656,"New York, NY, USA"
3,dwr.eth,Dan Romero,"https://res.cloudinary.com/merkle-manufactory/image/fetch/c_fill,f_png,w_256/https://lh3.googleusercontent.com/MyUBL0xHzMeBu7DXQAqv0bM9y6s4i4qjnhcXz5fxZKS3gwWgtamxxmxzCJX7m2cuYeGalyseCA2Y6OBKDMR06TWg2uwknnhdkDA1AA",474873,3382,"Los Angeles, CA, USA"
3621,horsefacts.eth,horsefacts,https://i.imgur.com/rt8TGdY.jpg,298178,3450,"New York, NY, USA"
3842,boysclub,Boys club,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/776f3569-805d-42e7-a41a-376487341c00/rectcrop3,2479,170,
11517,dalechyn.eth,Vladyslav Dalechyn,https://i.imgur.com/7SIMuyb.jpg,1650,363,"Kyiv, Ukraine"
239,ted,ted (not lasso),https://openseauserdata.com/files/fd28c65d9b5192168fb259009a3afd36.png,363175,966,"Los Angeles, CA, USA"
7143,six,six,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/aa2eeaab-6d7c-4245-f425-22e7326ad400/rectcrop3,75399,986,
2,v,Varun Srinivasan,https://i.seadn.io/gae/sYAr036bd0bRpj7OX6B-F-MqLGznVkK3--DSneL_BT5GX4NZJ3Zu91PgjpD9-xuVJtHq0qirJfPZeMKrahz8Us2Tj_X8qdNPYC-imqs?w=500&auto=format,397235,1294,"Los Angeles, CA, USA"
5774,tldr,tldr (tim reilly),https://i.seadn.io/gae/JtOZdbuDX2gmQziB0tJn0W9KR9Ym3OOnI0l53a1ELghw47sOOBJplCdfA-_rXyNBrp3Ula18hFe5gxtLsFY7t5y1VUd8kmNQfNBj?w=500&auto=format,200916,1396,"New York, NY, USA"
13659,entropybender,kevin j 🀙,https://i.seadn.io/gcs/files/511314f217d2107e7ce6dc7c58c0d39d.png?w=500&auto=format,7964,1267,"New York, NY, USA"
3621,horsefacts.eth,horsefacts,https://i.imgur.com/rt8TGdY.jpg,298178,3450,"New York, NY, USA"
239,ted,ted (not lasso),https://openseauserdata.com/files/fd28c65d9b5192168fb259009a3afd36.png,363175,966,"Los Angeles, CA, USA"
1606,samantha,Sam (crazy candle person) ✦ ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/6738f966-a36a-44e1-e9fb-19c2040f3d00/rectcrop3,70399,677,"Candle Lake, SK, Canada"
1689,stephancill,Stephan,https://i.imgur.com/njEtQOM.jpg,165754,1023,"Cape Town, South Africa"
1580,mxmnr,Max Miner,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/2c82d10c-baa6-4899-43d5-4d53fb84c800/original,1519,273,"Austin, TX, USA"
11188,polynya,polynya,https://i.imgur.com/7vUGwdo.png,325709,126,
4407,keccers.eth,keccers,https://i.imgur.com/kynnpYw.jpg,172898,1202,
451,pfista,Michael Pfister,https://i.seadn.io/gcs/files/d172183e374ee8690e9b447dadb49b87.gif?w=500&auto=format,238900,657,"San Diego, CA, USA"
1626,mcbain,McBain ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/6b5f14ba-508a-4090-abca-dae88b6e6d00/original,130124,1169,"Sacramento, CA, USA"
12,linda,Linda Xie,https://i.seadn.io/gae/r6CW_kgQygQhI7-4JdWt_Nbf_bjFNnEM7dSns1nZGrijJvUMaLnpAFuBLwjsHXTkyX8zfgpRJCYibtm7ojeA2_ASQwSJgh7yKEFVMOI?w=500&auto=format,379794,656,"New York, NY, USA"
1287,july,July,https://i.seadn.io/gcs/files/ed56e6b9a1b22720ce7490524db333e0.jpg?w=500&auto=format,193894,1652,
403619,maretus.eth,Maretus,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/451b0fb0-768d-47e9-c9a9-227a28336e00/rectcrop3,24589,3174,"Ocala, FL, USA"
16148,eulerlagrange.eth,EulerLagrange.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/d20697e6-f714-4c5a-aad3-5ba1da907100/rectcrop3,233882,587,"Brooklyn, NY, USA"
395346,lambchop,Lambchop 🐺★ ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/bc864b1e-a93e-49ce-e381-deb939451600/rectcrop3,8356,795,"Philadelphia, PA, USA"
68,erik,Erik Torenberg,https://i.imgur.com/adpD7Cv.jpg,2544,75,
239,ted,ted (not lasso),https://openseauserdata.com/files/fd28c65d9b5192168fb259009a3afd36.png,363175,966,"Los Angeles, CA, USA"
1668,tomu.eth,tomu,https://i.imgur.com/roj0Zcu.gif,8117,875,"Lisbon, Portugal"
2433,seneca,seneca,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/0e928611-bfd8-4439-81e3-cbea2cd32000/original,317990,342,
2,v,Varun Srinivasan,https://i.seadn.io/gae/sYAr036bd0bRpj7OX6B-F-MqLGznVkK3--DSneL_BT5GX4NZJ3Zu91PgjpD9-xuVJtHq0qirJfPZeMKrahz8Us2Tj_X8qdNPYC-imqs?w=500&auto=format,397235,1294,"Los Angeles, CA, USA"
5774,tldr,tldr (tim reilly),https://i.seadn.io/gae/JtOZdbuDX2gmQziB0tJn0W9KR9Ym3OOnI0l53a1ELghw47sOOBJplCdfA-_rXyNBrp3Ula18hFe5gxtLsFY7t5y1VUd8kmNQfNBj?w=500&auto=format,200916,1396,"New York, NY, USA"
2134,kazi,Kazi ,https://i.imgur.com/5EGzNvq.jpg,48374,1596,"San Francisco, CA, USA"
196387,callmejojo,Jojo ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/ccbcc5d7-7f00-4a52-2b9e-ec6c4a381100/rectcrop3,5332,1671,
3,dwr.eth,Dan Romero,"https://res.cloudinary.com/merkle-manufactory/image/fetch/c_fill,f_png,w_256/https://lh3.googleusercontent.com/MyUBL0xHzMeBu7DXQAqv0bM9y6s4i4qjnhcXz5fxZKS3gwWgtamxxmxzCJX7m2cuYeGalyseCA2Y6OBKDMR06TWg2uwknnhdkDA1AA",474873,3382,"Los Angeles, CA, USA"
6841,deodad,Tony D’Addeo ,https://i.imgur.com/dMoIan7.jpg,12234,473,"Austin, TX, USA"
3017,rafi,Rafi,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/2bb7c55c-c793-4e4e-f736-29212918ce00/original,47701,622,"Warsaw, Poland"
780900,afrochicks,Naomi,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/27da7eba-4462-4718-1741-16a7f8102f00/rectcrop3,6750,262,"Manchester, UK"
1287,july,July,https://i.seadn.io/gcs/files/ed56e6b9a1b22720ce7490524db333e0.jpg?w=500&auto=format,193894,1652,
270504,proxystudio.eth,proxy,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/fb32d670-bebb-40a3-6fc5-a9a3b7b5b000/original,21755,1719,"Dharamshala, Himachal Pradesh, India"
325,vm,Victor Ma 🧾,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/9b2a9adf-6dbc-4243-408a-a9d8b104f100/original,114548,1016,"Brooklyn, NY, USA"
236727,sinusoidalsnail,Sine,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/84722422-296f-4921-74aa-b88ee65d3a00/original,1837,542,
239,ted,ted (not lasso),https://openseauserdata.com/files/fd28c65d9b5192168fb259009a3afd36.png,363175,966,"Los Angeles, CA, USA"
7143,six,six,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/aa2eeaab-6d7c-4245-f425-22e7326ad400/rectcrop3,75399,986,
3,dwr.eth,Dan Romero,"https://res.cloudinary.com/merkle-manufactory/image/fetch/c_fill,f_png,w_256/https://lh3.googleusercontent.com/MyUBL0xHzMeBu7DXQAqv0bM9y6s4i4qjnhcXz5fxZKS3gwWgtamxxmxzCJX7m2cuYeGalyseCA2Y6OBKDMR06TWg2uwknnhdkDA1AA",474873,3382,"Los Angeles, CA, USA"
1689,stephancill,Stephan,https://i.imgur.com/njEtQOM.jpg,165754,1023,"Cape Town, South Africa"
1580,mxmnr,Max Miner,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/2c82d10c-baa6-4899-43d5-4d53fb84c800/original,1519,273,"Austin, TX, USA"
11188,polynya,polynya,https://i.imgur.com/7vUGwdo.png,325709,126,
4407,keccers.eth,keccers,https://i.imgur.com/kynnpYw.jpg,172898,1202,
451,pfista,Michael Pfister,https://i.seadn.io/gcs/files/d172183e374ee8690e9b447dadb49b87.gif?w=500&auto=format,238900,657,"San Diego, CA, USA"
1626,mcbain,McBain ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/6b5f14ba-508a-4090-abca-dae88b6e6d00/original,130124,1169,"Sacramento, CA, USA"
12,linda,Linda Xie,https://i.seadn.io/gae/r6CW_kgQygQhI7-4JdWt_Nbf_bjFNnEM7dSns1nZGrijJvUMaLnpAFuBLwjsHXTkyX8zfgpRJCYibtm7ojeA2_ASQwSJgh7yKEFVMOI?w=500&auto=format,379794,656,"New York, NY, USA"
1287,july,July,https://i.seadn.io/gcs/files/ed56e6b9a1b22720ce7490524db333e0.jpg?w=500&auto=format,193894,1652,
403619,maretus.eth,Maretus,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/451b0fb0-768d-47e9-c9a9-227a28336e00/rectcrop3,24589,3174,"Ocala, FL, USA"
16148,eulerlagrange.eth,EulerLagrange.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/d20697e6-f714-4c5a-aad3-5ba1da907100/rectcrop3,233882,587,"Brooklyn, NY, USA"
